"","playDispNm","blkPerGame","trbPerGame","stlPerGame","toPerGame","astPerGame","ptsPerGame","teamWins","mvpScore"
"85","Austin Rivers",0.267857142857143,2.48214285714286,1.21428571428571,1.75,3.78571428571429,15.25,29,47.1857142857143
"86","Bojan Bogdanović",0.0933333333333333,3.34666666666667,0.706666666666667,1.32,1.53333333333333,14.2533333333333,44,47.028
"87","Darren Collison",0.238095238095238,2.6031746031746,1.3968253968254,1.28571428571429,5.41269841269841,12.4761904761905,36,46.7587301587302
"88","Derrick Favors",1.04225352112676,7.16901408450704,0.732394366197183,1.19718309859155,1.36619718309859,12.1267605633803,41,46.6521126760563
"89","Joe Ingles",0.223684210526316,4.26315789473684,1.10526315789474,1.96052631578947,4.57894736842105,11.5789473684211,43,46.2289473684211
"90","Kentavious Caldwell-Pope",0.194029850746269,5.46268656716418,1.50746268656716,1.3134328358209,2.2089552238806,13.5522388059701,29,46.0029850746269
"91","Rondae Hollis-Jefferson",0.655737704918033,6.70491803278689,0.901639344262295,1.73770491803279,2.44262295081967,14.4426229508197,22,45.7655737704918
"92","Kris Dunn",0.538461538461538,4.23076923076923,2,2.88461538461538,5.96153846153846,13.4423076923077,19,45.6461538461538
"93","Paul Millsap",1.09375,6.25,1.15625,1.9375,2.71875,14.75,17,45.540625
"94","Dennis Smith",0.230769230769231,3.69230769230769,0.984615384615385,2.81538461538462,5,15.2153846153846,21,45.54
"95","Lauri Markkanen",0.619047619047619,7.55555555555556,0.571428571428571,1.23809523809524,1.15873015873016,14.8571428571429,21,45.4079365079365
"96","Pau Gasol",1.05633802816901,8.14084507042254,0.309859154929577,1.45070422535211,3.15492957746479,10.4084507042254,42,45.3718309859155
"97","Domantas Sabonis",0.411764705882353,7.86764705882353,0.485294117647059,1.89705882352941,2.07352941176471,11.5294117647059,42,45.2661764705882
"98","Jordan Clarkson",0.0666666666666667,2.81333333333333,0.693333333333333,1.62666666666667,2.84,14.24,36,45.2106666666667
"99","Kawhi Leonard",1,4.66666666666667,2,1.77777777777778,2.33333333333333,16.2222222222222,5,44.8777777777778
"100","Lonzo Ball",0.807692307692308,6.90384615384615,1.67307692307692,2.61538461538462,7.23076923076923,10.1538461538462,24,44.6057692307692
"101","DeMarre Carroll",0.428571428571429,6.7,0.842857142857143,1.38571428571429,2.02857142857143,13.7142857142857,24,44.4671428571429
"102","D'Angelo Russell",0.365853658536585,4,0.707317073170732,3,5.14634146341463,16.0975609756098,12,44.3634146341463
"103","Jeremy Lamb",0.413333333333333,4.18666666666667,0.76,1.17333333333333,2.36,13.1066666666667,34,44.1853333333333
"104","Mike Conley",0.25,2.25,1,1.5,4.08333333333333,17.0833333333333,7,44.1666666666667
"105","Spencer Dinwiddie",0.324324324324324,3.25675675675676,0.851351351351351,1.55405405405405,6.51351351351351,12.7027027027027,24,44.0959459459459
"106","Zach LaVine",0.166666666666667,3.95833333333333,1,1.79166666666667,3,16.7083333333333,9,43.9916666666667
"107","Marcus Morris",0.204081632653061,5.46938775510204,0.63265306122449,1.06122448979592,1.26530612244898,13.4081632653061,32,43.7897959183674
"108","Kelly Oubre Jr.",0.432432432432432,4.58108108108108,0.945945945945946,1.05405405405405,1.2027027027027,12.027027027027,41,43.7216216216216
"109","E'Twaun Moore",0.131578947368421,2.97368421052632,0.934210526315789,1.26315789473684,2.25,12.1578947368421,43,43.6539473684211
"110","Kelly Olynyk",0.485714285714286,5.62857142857143,0.857142857142857,1.95714285714286,2.74285714285714,11.4571428571429,39,43.6428571428571
